,violated,pathLength,sumCap,RVTCount,HVTCount,LVTCount,arrivalTime,GBASlack,PBASlack
0,True,21,2708.6052682400004,8,4,2,-2.7342054844,-0.1441865116,-0.1441862732
1,True,13,2621.5853729248,2,4,0,-2.7412946224,-0.1712759137,-0.1712760329
2,True,21,2609.2512419224,0,14,0,-2.7252953053,-0.0150932819,-0.0142625868
3,True,49,2649.3697962762008,0,42,0,-5.4464654922,-0.4064451456,-0.4064452648
4,False,9,2595.3255615235003,0,2,0,-0.6037850976,1.702227354,1.702227354
5,False,13,2627.9108457566,0,4,2,-2.4447052479,0.1453139782,0.1453139782
6,True,29,2794.0328609347,10,6,6,-2.8380856514,-0.2180654407,-0.218065083
7,False,14,2562.0075407029003,0,4,2,-2.1572952271,0.3727248311,0.3727248311
8,False,13,2555.6683712006,0,6,0,-2.0888051987,0.3512129486,0.351212889
9,True,13,2602.175113678,2,2,2,-2.5478248596,-0.0378036201,-0.0378035605
10,False,9,2601.2229690552,0,2,0,-1.8674451113,0.4925757051,0.4925757051
11,True,21,2577.7522324324,22,0,10,-1.2906761169,-0.330655694,-0.330655694
12,False,21,2616.0961207151004,0,14,0,-2.918648243,5.7713727951,5.7713727951
13,True,21,2587.9805110693,4,8,2,-2.6254649162,-0.1054457501,-0.1054456308
14,False,13,2580.3783130647,0,6,0,-2.1790750027,0.2409449518,0.240944773
15,True,91,2815.5434525013998,28,56,0,-6.1879839897,-0.2879642248,-0.2879641056
16,False,49,2649.3697962762008,0,42,0,-5.4464654922,3.5935549736,3.5935547352
17,False,15,2678.414124012,0,8,0,-2.425235033,0.0247844756,0.0247842968
18,False,25,2707.9049091339,12,4,2,-1.9431312084,0.6668869853,0.6668871045
