,violated,pathLength,sumCap,RVTCount,HVTCount,LVTCount,arrivalTime,GBASlack,PBASlack
0,True,9,3938.6325006484,12,6,2,-3.2100188732,-0.1358389258,-0.1358391047
1,True,41,4022.4673901797,38,4,2,-4.1500191689,-0.6587390304,-0.6587387323
2,True,13,3878.492617607,0,14,10,-2.9776670933,-0.0023969933,-0.0023970529
3,False,31,4135.8081345559,0,70,0,-4.7300195694,0.2864204645,0.2864199877
4,True,21,4003.8733696937,0,20,0,-3.859754324,-1.9797543287,-1.9797540903
5,False,13,4051.3890393972,10,4,2,-3.2300188541,0.0046610311,0.0046608523
6,True,15,4269.6872169971,20,6,8,-3.440019846,-0.2719599009,-0.2719601393
7,True,9,3970.7339200973,4,4,4,-2.9700198174,-0.0127496645,-0.0127500221
8,False,9,3876.5670075416,2,10,0,-3.1100177765,0.0087621883,0.0087620094
9,True,41,3937.9122413398,34,2,8,-4.0300216675,-0.4422215819,-0.4422211647
10,False,9,3956.0605416298,6,2,0,-3.0800206661,0.0273993686,0.0273990706
11,True,17,3892.385519266,34,0,12,-3.1000201702,-0.5993691683,-0.5993694067
12,False,21,3945.7062644957,0,32,0,-4.0200209618,4.6986017227,4.6986021996
13,True,11,3975.3466742038,8,8,6,-3.1600191593,-0.0345790908,-0.0345793888
14,True,15,3892.2246036529,2,10,6,-3.2000200748,-0.0009701774,-0.0009698793
15,False,19,3970.8200361729,28,72,0,-4.0900197029,1.8279402256,1.8279403448
16,False,31,4135.8081345559,0,70,0,-4.7300195694,4.2864203453,4.2864198685
17,False,15,3984.023267746,10,8,2,-3.2700192928,0.0351906493,0.0351904705
18,True,19,3914.7647075652,24,6,4,-3.5000178814,-0.9169119596,-0.9169126153
