designName,violated,pathLength,sumCap,sumFO,RVTCount,HVTCount,LVTCount,arrivalTime,RequiredTime,GBASlack,PBASlack
full_chip_crossbar_2x2,True,21,2708.6052682400004,18.0,8,4,2,-2.7342054844,2.5900189877,-0.1441865116,-0.1441862732
full_chip_dot_product,True,13,2621.5853729248,20.0,2,4,0,-2.7412946224,2.5700187683,-0.1712759137,-0.1712760329
full_chip_interleaver,True,21,2609.2512419224,40.0,0,14,0,-2.7252953053,2.7102019787,-0.0150932819,-0.0142625868
full_chip_fir,True,49,2649.3697962762008,39.0,0,42,0,-5.4464654922,5.040019989,-0.4064451456,-0.4064452648
full_chip_encoder,False,9,2595.3255615235003,24.0,0,2,0,-0.6037850976,2.306012392,1.702227354,1.702227354
full_chip_sipo,False,13,2627.9108457566,16.0,0,4,2,-2.4447052479,2.5900192261,0.1453139782,0.1453139782
full_chip_priority16bit,True,29,2794.0328609346993,20.0,10,6,6,-2.8380856514,2.6200203896,-0.2180654407,-0.218065083
full_chip_convolution_encoder_1,False,14,2562.0075407029003,6.0,0,4,2,-2.1572952271,2.5300199986,0.3727248311,0.3727248311
full_chip_decoder,False,13,2555.6683712005997,15.0,0,6,0,-2.0888051987,2.4400179386,0.3512129486,0.351212889
full_chip_mac_wi_sm,True,13,2602.175113678,8.0,2,2,2,-2.5478248596,2.5100212097,-0.0378036201,-0.0378035605
full_chip_vedic,False,9,2601.2229690552,20.0,0,2,0,-1.8674451113,2.3600206375,0.4925757051,0.4925757051
full_chip_rlc,True,21,2577.7522324324,18.0,22,0,10,-1.2906761169,0.9600204229,-0.330655694,-0.330655694
full_chip_stop_watch,False,21,2616.0961207151004,22.0,0,14,0,-2.918648243,8.6900205612,5.7713727951,5.7713727951
full_chip_address_gen,True,21,2587.9805110693,22.0,4,8,2,-2.6254649162,2.5200192928,-0.1054457501,-0.1054456308
full_chip_pwm_generator,False,13,2580.3783130647,19.0,0,6,0,-2.1790750027,2.420019865,0.2409449518,0.240944773
full_chip_counter_cr,True,91,2815.5434525013993,123.0,28,56,0,-6.1879839897,5.9000196457,-0.2879642248,-0.2879641056
full_chip_fir_p8,False,49,2649.3697962762008,39.0,0,42,0,-5.4464654922,9.040019989,3.5935549736,3.5935547352
full_chip_adaptive,False,15,2678.414124012,55.0,0,8,0,-2.425235033,2.450019598,0.0247844756,0.0247842968
full_chip_stochastic_bitstream_generator_with_parity_checker,False,25,2707.9049091339,16.0,12,4,2,-1.9431312084,2.6100182533,0.6668869853,0.6668871045
