designName,violated,pathLength,sumCap,sumFO,RVTCount,HVTCount,LVTCount,arrivalTime,RequiredTime,GBASlack,PBASlack
full_chip_crossbar_2x2,True,9,3938.6325006484,5.0,12,6,2,-3.2100188732,3.0741801262,-0.1358389258,-0.1358391047
full_chip_dot_product,True,41,4022.4673901797,34.0,38,4,2,-4.1500191689,3.4912800789,-0.6587390304,-0.6587387323
full_chip_interleaver,True,13,3878.492617607,6.0,0,14,10,-2.9776670933,2.9752700329,-0.0023969933,-0.0023970529
full_chip_fir,False,31,4135.8081345559,16.0,0,70,0,-4.7300195694,5.0164399147,0.2864204645,0.2864199877
full_chip_encoder,True,21,4003.8733696937,11.0,0,20,0,-3.859754324,1.8799999952,-1.9797543287,-1.9797540903
full_chip_sipo,False,13,4051.3890393972,6.0,10,4,2,-3.2300188541,3.2346799374,0.0046610311,0.0046608523
full_chip_priority16bit,True,15,4269.6872169971,8.0,20,6,8,-3.440019846,3.1680600643,-0.2719599009,-0.2719601393
full_chip_convolution_encoder_1,True,9,3970.7339200973,5.0,4,4,4,-2.9700198174,2.9572701454,-0.0127496645,-0.0127500221
full_chip_decoder,False,9,3876.5670075416,5.0,2,10,0,-3.1100177765,3.1187801361,0.0087621883,0.0087620094
full_chip_mac_wi_sm,True,41,3937.9122413398,39.0,34,2,8,-4.0300216675,3.5878000259,-0.4422215819,-0.4422211647
full_chip_vedic,False,9,3956.0605416298,5.0,6,2,0,-3.0800206661,3.1074199677,0.0273993686,0.0273990706
full_chip_rlc,True,17,3892.385519266,11.0,34,0,12,-3.1000201702,2.5006511211,-0.5993691683,-0.5993694067
full_chip_stop_watch,False,21,3945.7062644957,19.0,0,32,0,-4.0200209618,8.7186231613,4.6986017227,4.6986021996
full_chip_address_gen,True,11,3975.3466742038,6.0,8,8,6,-3.1600191593,3.1254401207,-0.0345790908,-0.0345793888
full_chip_pwm_generator,True,15,3892.2246036529,15.0,2,10,6,-3.2000200748,3.1990499496,-0.0009701774,-0.0009698793
full_chip_counter_cr,False,19,3970.8200361729,13.0,28,72,0,-4.0900197029,5.9179601669,1.8279402256,1.8279403448
full_chip_fir_p8,False,31,4135.8081345559,16.0,0,70,0,-4.7300195694,9.0164403915,4.2864203453,4.2864198685
full_chip_adaptive,False,15,3984.023267746,8.0,10,8,2,-3.2700192928,3.3052101135,0.0351906493,0.0351904705
full_chip_stochastic_bitstream_generator_with_parity_checker,True,19,3914.7647075652,16.0,24,6,4,-3.5000178814,2.583106041,-0.9169119596,-0.9169126153
