designName,violated,pathLength,sumCap,sumFO,RVTCount,HVTCount,LVTCount,arrivalTime,RequiredTime,GBASlack,PBASlack
full_chip_crossbar_2x2,False,10,28.889492034899998,3.0,12,10,4,-1.7600188255,2.5900189877,0.8300000429,0.8300001025
full_chip_dot_product,False,44,132.6224936248,33.0,70,10,4,-2.3400187492,2.6300187111,0.2899999619,0.2900000215
full_chip_interleaver,True,26,83.22591865070001,42.0,2,32,12,-2.7536256313,2.6771044731,-0.0765211284,-0.0737370849
full_chip_fir,True,48,86.39146542549999,38.0,0,114,0,-5.2700209618,5.040019989,-0.2300006449,-0.2300002873
full_chip_encoder,True,26,58.712307453099996,20.0,0,42,0,-2.4160122871,2.2160124779,-0.1999998689,-0.1999998689
full_chip_sipo,False,10,11.0594944954,3.0,10,8,4,-1.2200192213,2.5700192451,1.3499999046,1.3499999046
full_chip_priority16bit,False,12,257.6259338856,4.0,24,6,12,-1.1900203228,2.6000201702,1.4099999666,1.4100000858
full_chip_convolution_encoder_1,False,12,11.3806290627,5.0,4,10,6,-1.4500200748,2.5300199986,1.0799999237,1.0799999237
full_chip_decoder,False,18,19.4093378781,11.0,2,22,2,-1.6100180149,2.5300180912,0.9199999571,0.9199998975
full_chip_mac_wi_sm,False,52,86.4840434793,45.0,68,10,14,-2.5400211811,2.5400211811,1.341e-07,3.129e-07
full_chip_vedic,True,36,77.9513976574,38.0,28,10,2,-2.590020895,2.5400207043,-0.0500001237,-0.0500001237
full_chip_rlc,False,8,3.3675551414,1.0,34,0,16,-0.8700203896,2.4700202942,1.6000000238,1.6000000238
full_chip_stop_watch,False,80,147.50427258029998,94.0,0,108,0,-6.6900205612,8.710021019,2.0200002193,2.0200002193
full_chip_address_gen,False,24,46.7344989777,21.0,12,20,10,-2.2000193596,2.5200192928,0.3199999332,0.3199998736
full_chip_pwm_generator,False,20,30.873444914799997,15.0,2,26,6,-2.1300201416,2.5900199413,0.4599997699,0.4599998295
full_chip_counter_cr,True,92,117.9537508489,95.0,56,132,0,-5.9300169945,5.9000196457,-0.0299972892,-0.0299981236
full_chip_fir_p8,False,48,86.39146542549999,38.0,0,114,0,-5.2700209618,9.040019989,3.7699992657,3.7699997425
full_chip_adaptive,False,22,39.8515043259,17.0,10,24,4,-2.3300197124,2.7400195599,0.4099997878,0.4099997878
full_chip_stochastic_bitstream_generator_with_parity_checker,False,24,179.56312990179998,15.0,34,14,6,-1.7600181103,2.6100182533,0.8500000238,0.8499999642
